#doc=music_now.2.txt;;lemma;gramm;;;;;;;;;;;
4;lt;LT;NONLEX;;;ь;л;е;т;и;л;S;ћџ—Ћ»“≈Ћ№;S m inan nom sg
4;noindex;NOINDEX;NONLEX;;;;;;;;;PUNC;@;PUNC
8;gt;GT;NONLEX;;;;;;;;;PUNC;&;PUNC
2;@;@;PUNC;;;;;;;;;NONLEX;LT;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;";";PUNC
5;";";";";PUNC;;;;;;;;;NONLEX;NOINDEX;NONLEX
7;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
1;ћыслитель;ћџ—Ћ»“≈Ћ№;S m inan nom sg;;;;;;;;;NONLEX;GT;NONLEX
9;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;[;[;PUNC;;;;;;;;;PUNC;[;PUNC
2;нрзб;Ќ–«Ѕ;NONLEX;;;б;з;р;н;;;NONLEX;Ќ–«Ѕ;NONLEX
3;];];PUNC;;;;;;;;;PUNC;];PUNC
4;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
5;lt;&;NONLEX;;;;;;;;;NONLEX;LT;NONLEX
6;";";";";SENT;;;;;;;;;SENT;";";SENT
;;;;;;;;;;;;;;
1;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
2;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX
3;&;&;PUNC;;;;;;;;;PUNC;&;PUNC
4;gt;GT;NONLEX;;;;;;;;;NONLEX;GT;NONLEX
5;";";";";PUNC;;;;;;;;;PUNC;";";PUNC
6;у;”;PR;;;у;;;;;;PR;”;PR
7;мен€;я;SPRO sg 1p - acc;;;€;н;е;м;;;SPRO;я;SPRO sg 1p - acc
8;получаетс€;ѕќЋ”„ј“№—я;V ipf praes sg indic - 3p;;;€;с;т;е;а;ч;V;ѕќЋ”„ј“№—я;V ipf praes sg indic - 3p
9;не;Ќ≈;PART;;;е;н;;;;;PART;Ќ≈;PART
10;очень;ќ„≈Ќ№;ADV -;;;ь;н;е;ч;о;;ADV;ќ„≈Ќ№;ADV -
11;хорошо;’ќ–ќЎќ;ADV -;;;о;ш;о;р;о;х;ADV;’ќ–ќЎќ;ADV -
12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
13;поэтому;ѕќЁ“ќћ”;ADV -;;;у;м;о;т;э;о;ADV;ѕќЁ“ќћ”;ADV -
14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
15;соответственно;—ќќ“¬≈“—“¬≈ЌЌќ;ADV -;;;о;н;н;е;в;т;ADV;—ќќ“¬≈“—“¬≈ЌЌќ;ADV -
16;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
17;и;»;CONJ;;;и;;;;;;CONJ;»;CONJ
18;с;—;PR;;;с;;;;;;PR;—;PR
19;темой;“≈ћј;S f inan ins sg;;;й;о;м;е;т;;S;“≈ћј;S f inan ins sg
20;у;”;PR;;;у;;;;;;PR;”;PR
21;мен€;я;SPRO sg 1p - acc;;;€;н;е;м;;;SPRO;я;SPRO sg 1p - acc
22;будет;Ѕџ“№;V ipf praes sg indic - 3p;;;т;е;д;у;б;;V;Ѕџ“№;V ipf praes sg indic - 3p
23;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
24;наверно;Ќј¬≈–Ќќ;ADV -;;;о;н;р;е;в;а;ADV;Ќј¬≈–Ќќ;ADV -
25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
26;очень;ќ„≈Ќ№;ADV -;;;ь;н;е;ч;о;;ADV;ќ„≈Ќ№;ADV -
27;немножко;Ќ≈ћЌќ∆ ќ;ADV -;;;о;к;ж;о;н;м;ADV;Ќ≈ћЌќ∆ ќ;ADV -
28;глупое;√Ћ”ѕџ…;A - acc sg plen n -;;;е;о;п;у;л;г;A;√Ћ”ѕџ…;A - nom sg plen n -
29;видео;¬»ƒ≈ќ;S n inan acc pl;;;о;е;д;и;в;;S;¬»ƒ≈ќ;S n inan nonflex nonflex
30;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
31;но;Ќќ;CONJ;;;о;н;;;;;CONJ;Ќќ;CONJ
32;всЄ;¬—≈;ADV -;;;Є;с;в;;;;ADV;¬—≈;ADV -
33;же;∆≈;PART;;;е;ж;;;;;PART;∆≈;PART
34;.;.;SENT;;;;;;;;;SENT;.;SENT
;;;;;;;;;;;;;;
1;ћыслитель;ћџ—Ћ»“≈Ћ№;S m anim nom sg;;;ь;л;е;т;и;л;S;ћџ—Ћ»“≈Ћ№;S m anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;ќ;ќ;PR;;;о;;;;;;PR;ќ;PR
4;чем;„≈ћ;CONJ;;;м;е;ч;;;;CONJ;„≈ћ;CONJ
5;€;я;SPRO sg 1p - nom;;;€;;;;;;SPRO;я;SPRO sg 1p - nom
6;хотел;’ќ“≈“№;V ipf praet sg indic m -;;;л;е;т;о;х;;V;’ќ“≈“№;V ipf praet sg indic m -
7;поговорить;ѕќ√ќ¬ќ–»“№;V pf - - inf - -;;;ь;т;и;р;о;в;V;ѕќ√ќ¬ќ–»“№;V pf - - inf - -
8;?;?;SENT;;;;;;;;;SENT;?;SENT
;;;;;;;;;;;;;;
1;ћыслитель;ћџ—Ћ»“≈Ћ№;S m anim nom sg;;;ь;л;е;т;и;л;S;ћџ—Ћ»“≈Ћ№;S m anim nom sg
2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
3;я;я;SPRO sg 1p - nom;;;€;;;;;;SPRO;я;SPRO sg 1p - nom
4;бы;Ѕџ;PART;;;ы;б;;;;;PART;Ѕџ;PART
5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
6;например;Ќјѕ–»ћ≈–;ADV -;;;р;е;м;и;р;п;ADV;Ќјѕ–»ћ≈–;ADV -
